– checkpoints gifs LICENSE logs pixi.lock pixi.toml README.md results scripts slides slurm-out-iddpg_01.log slurm-out-iddpg_fast.log slurm-out-maddpg_01.log slurm-out-maddpg_fast.log src 81

Job started: Thu Jun 18 10:42:21 PM UTC 2026
Host: gpunode01.dyn.scc.plus.ac.at
Python Version:
Python 3.12.13
===============================
Training started: Thu Jun 18 10:42:21 PM UTC 2026

Using device: cuda
error: XDG_RUNTIME_DIR is invalid or not set in the environment.
Starting Training (Independent DDPG) - FAST MODE...
Ep 44500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 12.46, adversary_1: 12.46, adversary_2: 12.46, agent_0: -19.47]
Ep 45000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 14.00, adversary_1: 14.00, adversary_2: 14.00, agent_0: -20.55]
Ep 45500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 12.38, adversary_1: 12.38, adversary_2: 12.38, agent_0: -18.65]
Ep 46000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.64, adversary_1: 11.64, adversary_2: 11.64, agent_0: -17.82]
Ep 46500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 13.16, adversary_1: 13.16, adversary_2: 13.16, agent_0: -19.38]
Ep 47000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.62, adversary_1: 11.62, adversary_2: 11.62, agent_0: -17.09]
Ep 47500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 13.18, adversary_1: 13.18, adversary_2: 13.18, agent_0: -19.85]
Ep 48000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.98, adversary_1: 11.98, adversary_2: 11.98, agent_0: -18.04]
Ep 48500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 13.76, adversary_1: 13.76, adversary_2: 13.76, agent_0: -19.80]
Ep 49000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.58, adversary_1: 11.58, adversary_2: 11.58, agent_0: -17.55]
Ep 49500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 12.68, adversary_1: 12.68, adversary_2: 12.68, agent_0: -18.82]
Ep 50000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 12.80, adversary_1: 12.80, adversary_2: 12.80, agent_0: -19.13]
Ep 50500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 12.28, adversary_1: 12.28, adversary_2: 12.28, agent_0: -18.36]
Ep 51000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 12.98, adversary_1: 12.98, adversary_2: 12.98, agent_0: -19.21]
Ep 51500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.84, adversary_1: 11.84, adversary_2: 11.84, agent_0: -17.72]
Ep 52000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.76, adversary_1: 11.76, adversary_2: 11.76, agent_0: -18.26]
Ep 52500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 13.24, adversary_1: 13.24, adversary_2: 13.24, agent_0: -20.18]
Ep 53000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.34, adversary_1: 11.34, adversary_2: 11.34, agent_0: -17.90]
Ep 53500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.80, adversary_1: 11.80, adversary_2: 11.80, agent_0: -17.77]
Ep 54000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.20, adversary_1: 11.20, adversary_2: 11.20, agent_0: -17.40]
Ep 54500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.76, adversary_1: 11.76, adversary_2: 11.76, agent_0: -18.15]
Ep 55000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.24, adversary_1: 11.24, adversary_2: 11.24, agent_0: -16.82]
Ep 55500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 10.28, adversary_1: 10.28, adversary_2: 10.28, agent_0: -16.43]
Ep 56000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 10.90, adversary_1: 10.90, adversary_2: 10.90, agent_0: -16.98]
Ep 56500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 10.94, adversary_1: 10.94, adversary_2: 10.94, agent_0: -16.78]
Ep 57000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.94, adversary_1: 11.94, adversary_2: 11.94, agent_0: -17.53]
Ep 57500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.68, adversary_1: 11.68, adversary_2: 11.68, agent_0: -18.32]
Ep 58000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.88, adversary_1: 9.88, adversary_2: 9.88, agent_0: -15.94]
Ep 58500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.70, adversary_1: 11.70, adversary_2: 11.70, agent_0: -17.32]
Ep 59000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 11.38, adversary_1: 11.38, adversary_2: 11.38, agent_0: -17.49]
Ep 59500/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 10.64, adversary_1: 10.64, adversary_2: 10.64, agent_0: -17.46]
Ep 60000/60000 | Noise: 0.05 | Avg Rewards: [adversary_0: 9.70, adversary_1: 9.70, adversary_2: 9.70, agent_0: -15.56]
Training complete! Logs saved to results/iddpg_fast_run_rewards.csv

Training finished: Fri Jun 19 03:48:57 AM UTC 2026
===============================
Evaluation started: Fri Jun 19 03:48:57 AM UTC 2026

Loaded episode 60000 from checkpoints/iddpg/fast_run
Saved GIF to gifs/iddpg_fast_run_trained.gif

Evaluation finished: Fri Jun 19 03:49:08 AM UTC 2026

– checkpoints gifs LICENSE logs pixi.lock pixi.toml README.md results scripts slides slurm-out-iddpg_01.log slurm-out-iddpg_fast.log slurm-out-maddpg_01.log slurm-out-maddpg_fast.log src 81
